('MNIST1', {'Total Match': 3593, 'Recall': 0.89825, 'Search Time': 3.0822750000000014, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 7.618565})
('MNIST10', {'Total Match': 3059, 'Recall': 0.76475, 'Search Time': 1.827699999999996, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 6.175583})
('MNIST11', {'Total Match': 2455, 'Recall': 0.61375, 'Search Time': 0.9659950000000007, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 6.164159})
('MNIST2', {'Total Match': 3861, 'Recall': 0.96525, 'Search Time': 9.049093999999993, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 5.308999})
('MNIST3', {'Total Match': 3919, 'Recall': 0.97975, 'Search Time': 15.95264299999997, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 5.683324})
('MNIST4', {'Total Match': 3919, 'Recall': 0.97975, 'Search Time': 16.748275999999997, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 4.682717})
('MNIST5', {'Total Match': 3919, 'Recall': 0.97975, 'Search Time': 16.82247799999997, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 3.778134})
('MNIST6', {'Total Match': 3919, 'Recall': 0.97975, 'Search Time': 16.045160999999975, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 4.149188})
('MNIST7', {'Total Match': 3919, 'Recall': 0.97975, 'Search Time': 16.122647999999973, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 4.263896})
('MNIST8', {'Total Match': 3494, 'Recall': 0.8735, 'Search Time': 2.968621000000003, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 5.821008})
('MNIST9', {'Total Match': 3162, 'Recall': 0.7905, 'Search Time': 2.1776219999999973, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 6.637022})
('astro1m1', {'Total Match': 2354, 'Recall': 0.2354, 'Search Time': 1.0616180000000008, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 37.252019})
('astro1m10', {'Total Match': 1739, 'Recall': 0.1739, 'Search Time': 0.606342999999999, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 37.81083})
('astro1m11', {'Total Match': 1248, 'Recall': 0.1248, 'Search Time': 0.30493799999999915, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 36.538703})
('astro1m2', {'Total Match': 3195, 'Recall': 0.3195, 'Search Time': 2.273959999999996, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 34.835966})
('astro1m3', {'Total Match': 4163, 'Recall': 0.4163, 'Search Time': 3.826068000000015, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 34.882339})
('astro1m4', {'Total Match': 6491, 'Recall': 0.6491, 'Search Time': 14.140723999999942, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 29.311703})
('astro1m5', {'Total Match': 8456, 'Recall': 0.8456, 'Search Time': 20.2628, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 27.180526})
