('MNIST1', {'Total Match': 3593, 'Recall': 0.89825, 'Search Time': 3.795693000000006, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 6.090283})
('astro1m1', {'Total Match': 2354, 'Recall': 0.2354, 'Search Time': 1.1414629999999983, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 36.487801})
('astro1m2', {'Total Match': 3195, 'Recall': 0.3195, 'Search Time': 1.8178509999999912, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 28.837021})
('astro1m3', {'Total Match': 4163, 'Recall': 0.4163, 'Search Time': 3.49583700000001, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 28.820354})
('astro1m4', {'Total Match': 6491, 'Recall': 0.6491, 'Search Time': 10.319676999999981, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 24.265833})
('astro1m5', {'Total Match': 8456, 'Recall': 0.8456, 'Search Time': 21.39560599999999, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 24.352349})
('astro1m6', {'Total Match': 8291, 'Recall': 0.8291, 'Search Time': 20.20747399999999, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 26.375839})
('astro1m7', {'Total Match': 8291, 'Recall': 0.8291, 'Search Time': 20.712209, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 26.415904})
('audio1', {'Total Match': 3597, 'Recall': 0.89925, 'Search Time': 1.3129229999999978, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 1.121439})
('bigann1', {'Total Match': 2944, 'Recall': 0.2944, 'Search Time': 0.6188749999999996, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 19.290627})
('cifar1', {'Total Match': 3486, 'Recall': 0.8715, 'Search Time': 2.4495969999999994, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 2.99297})
